Materias,Editorias
"['Fóssil de 8,7 milhões de anos desafia teoria sobre a origem da humanidade']","['Fóssil de 8,7 milhões de anos desafia teoria sobre a origem da humanidade']"
['Espaçonave que vai examinar asteroide desviado pela NASA é montada com sucesso'],['Espaçonave que vai examinar asteroide desviado pela NASA é montada com sucesso']
['Nissan mostra nova geração de carros elétricos para parceiros comerciais'],['Nissan mostra nova geração de carros elétricos para parceiros comerciais']
['Oferta relâmpago: compre já o seu iPhone 13 com 40% de desconto!'],['Oferta relâmpago: compre já o seu iPhone 13 com 40% de desconto!']
['Confira o Olhar Digital News na íntegra'],['Confira o Olhar Digital News na íntegra']
['O caso da 123 milhas'],['O caso da 123 milhas']
['Apollo: conheça o robô humanoide que faz de tudo (e ainda pode ganhar rodas!)'],['Apollo: conheça o robô humanoide que faz de tudo (e ainda pode ganhar rodas!)']
['Rover da Índia começa a andar pela Lua após pouso\xa0histórico'],['Rover da Índia começa a andar pela Lua após pouso\xa0histórico']
['O que causou a falha da sonda Luna-25 na tentativa de pouso na Lua?'],['O que causou a falha da sonda Luna-25 na tentativa de pouso na Lua?']
['Detritos espaciais atingem alvo de missão que pretende limpar espaço'],['Detritos espaciais atingem alvo de missão que pretende limpar espaço']
['Fácil de limpar: vaso sanitário tech não deixa grudar nadinha'],['Fácil de limpar: vaso sanitário tech não deixa grudar nadinha']
['Novo acessório barato e sem fios é perfeito para ciclistas'],['Novo acessório barato e sem fios é perfeito para ciclistas']
['Elis Regina com IA: Conar arquiva processo contra propaganda da VW'],['Elis Regina com IA: Conar arquiva processo contra propaganda da VW']
['Crew-7: SpaceX lança astronautas ao espaço nesta madrugada; veja ao vivo'],['Crew-7: SpaceX lança astronautas ao espaço nesta madrugada; veja ao vivo']
['NASA quer desvendar os segredos do centro da Terra a partir do espaço'],['NASA quer desvendar os segredos do centro da Terra a partir do espaço']
['Google promete transparência nos anúncios devido novas regras da UE'],['Google promete transparência nos anúncios devido novas regras da UE']
['IA ajuda mulher com doença de Stephen Hawking a voltar a falar'],['IA ajuda mulher com doença de Stephen Hawking a voltar a falar']
['Inteligência artificial já está produzindo fake news'],['Inteligência artificial já está produzindo fake news']
['Confira o Olhar Digital News na íntegra'],['Confira o Olhar Digital News na íntegra']
['O que significa o histórico pouso indiano na Lua'],['O que significa o histórico pouso indiano na Lua']
"['Histórico! Sonda Chandrayaan-3, da Índia, pousa na Lua com sucesso']","['Histórico! Sonda Chandrayaan-3, da Índia, pousa na Lua com sucesso']"
['Hubble revela o brilho suave de uma galáxia irregular distante'],['Hubble revela o brilho suave de uma galáxia irregular distante']
['Maior parque eólico flutuante do mundo é inaugurado na Noruega'],['Maior parque eólico flutuante do mundo é inaugurado na Noruega']
['Lembra da música mas não sabe o nome? YouTube testa recurso para te ajudar'],['Lembra da música mas não sabe o nome? YouTube testa recurso para te ajudar']
['Quais as chances de uma colônia humana em Marte sobreviver?'],['Quais as chances de uma colônia humana em Marte sobreviver?']
['Tumba do primeiro imperador da China preocupa arqueólogos'],['Tumba do primeiro imperador da China preocupa arqueólogos']
['China pode ter arma a laser infinita'],['China pode ter arma a laser infinita']
['Marte está girando mais rápido e ninguém sabe o motivo'],['Marte está girando mais rápido e ninguém sabe o motivo']
['Quanto tempo dá para ficar vivo no espaço sem um traje?'],['Quanto tempo dá para ficar vivo no espaço sem um traje?']
['Por que os humanos do passado tinham dentes perfeitos?'],['Por que os humanos do passado tinham dentes perfeitos?']
['Erupção de diamantes: como ocorre?'],['Erupção de diamantes: como ocorre?']
['A Terra já foi tão quente quanto é agora?'],['A Terra já foi tão quente quanto é agora?']
['Efeitos da primeira bomba atômica foram sentidos nos EUA'],['Efeitos da primeira bomba atômica foram sentidos nos EUA']
['O que existe embaixo da areia da praia?'],['O que existe embaixo da areia da praia?']
['Quem foi Robert Oppenheimer?'],['Quem foi Robert Oppenheimer?']
['Como o concreto Maia dura tanto tempo?'],['Como o concreto Maia dura tanto tempo?']
['O “planeta espelhado” onde chove metal'],['O “planeta espelhado” onde chove metal']
"['Luzes de LED iluminam bem, mas há um problema']","['Luzes de LED iluminam bem, mas há um problema']"
['Carro popular: quanto um modelo dos anos 90 custaria hoje?'],['Carro popular: quanto um modelo dos anos 90 custaria hoje?']
['Água muda inclinação da Terra'],['Água muda inclinação da Terra']
['Super El Niño vai mudar o clima do mundo'],['Super El Niño vai mudar o clima do mundo']
['Submarino desaparecido: o que sabemos até o momento?'],['Submarino desaparecido: o que sabemos até o momento?']
['Por que você deve pensar duas vezes antes de acessar um Wi-Fi público?'],['Por que você deve pensar duas vezes antes de acessar um Wi-Fi público?']
"['Open Source: o que é, o que significa e quais as principais ferramentas']","['Open Source: o que é, o que significa e quais as principais ferramentas']"
['“Vocal Remover”: como separar a voz da música usando IA'],['“Vocal Remover”: como separar a voz da música usando IA']
['Quais são os menores animais do mundo?'],['Quais são os menores animais do mundo?']
"['Quem é Ahsoka Tano, personagem de série do Star Wars?']","['Quem é Ahsoka Tano, personagem de série do Star Wars?']"
['Ondas gravitacionais: o que são e por que são importantes?'],['Ondas gravitacionais: o que são e por que são importantes?']
['Conheça 5 sites que podem criar músicas com inteligência artificial (IA)'],['Conheça 5 sites que podem criar músicas com inteligência artificial (IA)']
['Games podem fazer bem para a saúde mental? Pesquisadores explicam'],['Games podem fazer bem para a saúde mental? Pesquisadores explicam']
['Pentest: o que é e para que serve o teste de segurança de rede e sistema'],['Pentest: o que é e para que serve o teste de segurança de rede e sistema']
['O que acontece com a fechadura eletrônica quando acaba a luz?'],['O que acontece com a fechadura eletrônica quando acaba a luz?']
['Quais as principais diferenças entre o Spotify e o Apple Music?'],['Quais as principais diferenças entre o Spotify e o Apple Music?']
['Quais iPhones são compatíveis com recarga sem fio (por indução)?'],['Quais iPhones são compatíveis com recarga sem fio (por indução)?']
['O que é o passaporte digital da Worldcoin e por que é tão polêmico?'],['O que é o passaporte digital da Worldcoin e por que é tão polêmico?']
"['Love in the Air: sinopse, elenco e onde assistir']","['Love in the Air: sinopse, elenco e onde assistir']"
['O que é e como funciona o Xbox Game Pass?'],['O que é e como funciona o Xbox Game Pass?']
"['Ela dança, Eu Danço: elenco, sinopse e onde assistir aos filmes da franquia']","['Ela dança, Eu Danço: elenco, sinopse e onde assistir aos filmes da franquia']"
['Vai ter 4ª temporada de The Witcher? O que se sabe da série da Netflix até agora'],['Vai ter 4ª temporada de The Witcher? O que se sabe da série da Netflix até agora']
['Onde assistir os filmes e séries das Tartarugas Ninja on-line'],['Onde assistir os filmes e séries das Tartarugas Ninja on-line']
