,Código da IES,Nome da IES*,Sigla da IES*,Município do Curso**,Sigla da UF** ,Conceito Enade (Contínuo),Conceito Enade (Faixa)
0,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Brasília,DF,3.903,4
1,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Brasília,DF,2.727,3
2,3.0,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,São Cristóvão,SE,2.541,3
3,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Manaus,AM,3.117,4
4,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Manaus,AM,0.488,1
5,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Parintins,AM,0.111,1
6,5.0,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Teresina,PI,2.678,3
7,9.0,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Londrina,PR,3.025,4
8,12.0,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Rio Grande,RS,2.543,3
9,13.0,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Caxias do Sul,RS,2.508,3
10,17.0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Uberlândia,MG,3.961,5
11,19.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Campinas,SP,2.77,3
12,20.0,UNIVERSIDADE DE PASSO FUNDO,UPF,Passo Fundo,RS,2.687,3
13,23.0,UNIVERSIDADE FEEVALE,FEEVALE,Novo Hamburgo,RS,2.123,3
14,29.0,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Fortaleza,CE,3.327,4
15,43.0,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Florianópolis,SC,3.632,4
16,54.0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Campinas,SP,5.0,5
17,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,São Paulo,SP,4.736,5
18,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Bauru,SP,4.044,5
19,57.0,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Maringá,PR,3.484,4
20,76.0,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Blumenau,SC,3.341,4
21,125.0,CENTRO UNIVERSITÁRIO DE ARARAS -,UNAR,Araras,SP,1.082,2
22,150.0,UNIVERSIDADE DE SOROCABA,UNISO,Sorocaba,SP,2.882,3
23,206.0,CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO,UNIÍTALO,São Paulo,SP,2.117,3
25,221.0,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,São Paulo,SP,2.633,3
26,221.0,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,São Paulo,SP,1.809,2
27,265.0,CENTRO UNIVERSITÁRIO DAS FACULDADES INTEGRADAS DE OURINHOS,Unifio,Ourinhos,SP,2.034,3
29,275.0,UNIVERSIDADE DO VALE DO PARAÍBA,UNIVAP,São José dos Campos,SP,2.852,3
31,322.0,UNIVERSIDADE PAULISTA,UNIP,São Paulo,SP,1.469,2
32,367.0,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,Montes Claros,MG,2.178,3
33,370.0,FACULDADE PAULISTA DE ARTES,FPA,São Paulo,SP,2.445,3
34,374.0,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,FMU,São Paulo,SP,3.108,4
36,417.0,UNIVERSIDADE CIDADE DE SÃO PAULO,UNICID,São Paulo,SP,1.802,2
37,461.0,CENTRO UNIVERSITÁRIO ARMANDO ALVARES PENTEADO,FA-FAAP,São Paulo,SP,4.041,5
38,482.0,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNESC,Criciúma,SC,3.226,4
39,496.0,UNIVERSIDADE DE FRANCA,UNIFRAN,Franca,SP,1.588,2
40,547.0,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,Rio de Janeiro,RJ,3.628,4
41,548.0,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,São Luís,MA,2.647,3
42,548.0,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,São Luís,MA,1.891,2
44,570.0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,Natal,RN,3.824,4
45,571.0,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Curitiba,PR,3.331,4
46,573.0,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Vitória,ES,3.595,4
48,573.0,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Vitória,ES,3.204,4
49,575.0,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Belo Horizonte,MG,4.215,5
50,576.0,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,Juiz de Fora,MG,3.814,4
51,578.0,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Salvador,BA,3.761,4
52,579.0,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,João Pessoa,PB,3.502,4
53,580.0,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Recife,PE,2.959,4
54,581.0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,Porto Alegre,RS,4.572,5
55,582.0,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,Santa Maria,RS,2.871,3
56,584.0,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Goiânia,GO,3.63,4
57,584.0,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Goiânia,GO,2.396,3
58,587.0,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,Recife,PE,1.605,2
59,600.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",IFMA,São Luís,MA,1.591,2
60,610.0,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DO RIO DE JANEIRO,UNINASSAU,Rio de Janeiro,RJ,3.08,4
61,634.0,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,Pelotas,RS,2.517,3
62,665.0,UNIVERSIDADE DE TAUBATÉ,UNITAU,Taubaté,SP,2.399,3
63,665.0,UNIVERSIDADE DE TAUBATÉ,UNITAU,Taubaté,SP,4.318,5
64,671.0,UNIVERSIDADE ANHANGUERA,UNIDERP,Campo Grande,MS,1.022,2
65,694.0,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,Campo Grande,MS,3.781,4
66,699.0,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,Porto Velho,RO,1.184,2
67,719.0,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,UNEMAT,Cáceres,MT,1.725,2
68,730.0,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UEPG,Ponta Grossa,PR,3.535,4
69,746.0,UNIVERSIDADE REGIONAL DO CARIRI,URCA,Juazeiro do Norte,CE,1.999,3
70,789.0,UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,Boa Vista,RR,1.025,2
71,830.0,UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,Macapá,AP,2.041,3
72,953.0,UNIVERSIDADE METROPOLITANA DE SANTOS,UNIMES,Santos,SP,1.768,2
73,1036.0,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,Belo Horizonte,MG,3.135,4
74,1036.0,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,Belo Horizonte,MG,3.333,4
75,1430.0,CENTRO UNIVERSITÁRIO INGÁ,UNINGÁ,Maringá,PR,2.007,3
